Maxi Prin Strs,Mini Prin Strs,Sa,Sm,Sn',Sn,b,b',N',N,Predicted,Cycles
-9230.5,-245561.5,118219.75,-127341.75,168.5549342,701.3722295,-0.830968813,-1.203414597,1.845716393,0.478292081,478312.3,478292.0809
-9122,-245426,118206.25,-127219.75,168.3944079,701.9606617,-0.830952281,-1.20343854,1.847264899,0.477802607,477831.75,477802.607
-9013.5,-245290.5,118192.75,-127097.75,168.2338816,702.5502169,-0.830935747,-1.203462486,1.84881636,0.477313099,477351.22,477313.0993
-8905,-245155,118179.25,-126975.75,168.0733553,703.1408983,-0.830919211,-1.203486436,1.850370785,0.476823558,476870.62,476823.5579
-8796.5,-245019.5,118165.75,-126853.75,167.9128289,703.7327091,-0.830902673,-1.20351039,1.851928182,0.476333983,476390,476333.9828
-8688,-244884,118152.25,-126731.75,167.7523026,704.3256524,-0.830886133,-1.203534347,1.853488559,0.475844374,475909.5,475844.3741
-8579.5,-244748.5,118138.75,-126609.75,167.5917763,704.9197317,-0.830869592,-1.203558308,1.855051926,0.475354732,475428.94,475354.7321
-8471,-244613,118125.25,-126487.75,167.43125,705.5149502,-0.830853048,-1.203582273,1.85661829,0.474865057,474948.3,474865.0567
-8362.5,-244477.5,118111.75,-126365.75,167.2707237,706.111311,-0.830836503,-1.203606241,1.858187661,0.474375348,474467.7,474375.3481
-8254,-244342,118098.25,-126243.75,167.1101974,706.7088177,-0.830819955,-1.203630213,1.859760046,0.473885606,473987.16,473885.6063
-8145.5,-244206.5,118084.75,-126121.75,166.9496711,707.3074733,-0.830803406,-1.203654189,1.861335456,0.473395832,473506.62,473395.8315
-8037,-244071,118071.25,-125999.75,166.7891447,707.9072813,-0.830786855,-1.203678169,1.862913898,0.472906024,473026.03,472906.0239
-7928.5,-243935.5,118057.75,-125877.75,166.6286184,708.508245,-0.830770302,-1.203702152,1.864495382,0.472416183,472545.5,472416.1833
-7820,-243800,118044.25,-125755.75,166.4680921,709.1103677,-0.830753747,-1.203726139,1.866079915,0.47192631,472064.88,471926.3101
-7711.5,-243664.5,118030.75,-125633.75,166.3075658,709.7136528,-0.83073719,-1.203750129,1.867667507,0.471436404,471584.3,471436.4043
-7603,-243529,118017.25,-125511.75,166.1470395,710.3181036,-0.830720631,-1.203774124,1.869258167,0.470946466,471103.72,470946.4659
-7494.5,-243393.5,118003.75,-125389.75,165.9865132,710.9237236,-0.830704071,-1.203798122,1.870851904,0.470456495,470623.1,470456.4952
-7386,-243258,117990.25,-125267.75,165.8259868,711.5305161,-0.830687508,-1.203822123,1.872448727,0.469966492,470142.53,469966.4922
-7277.5,-243122.5,117976.75,-125145.75,165.6654605,712.1384845,-0.830670944,-1.203846129,1.874048644,0.469476457,469662,469476.457
-7169,-242987,117963.25,-125023.75,165.5049342,712.7476323,-0.830654378,-1.203870138,1.875651664,0.46898639,469181.4,468986.3897
-7060.5,-242851.5,117949.75,-124901.75,165.3444079,713.3579629,-0.830637809,-1.203894151,1.877257797,0.46849629,468700.84,468496.2904
-6952,-242716,117936.25,-124779.75,165.1838816,713.9694798,-0.830621239,-1.203918167,1.878867052,0.468006159,468220.25,468006.1592
-6843.5,-242580.5,117922.75,-124657.75,165.0233553,714.5821863,-0.830604667,-1.203942187,1.880479438,0.467515996,467739.7,467515.9963
-6735,-242445,117909.25,-124535.75,164.8628289,715.1960861,-0.830588093,-1.203966211,1.882094963,0.467025802,467259.12,467025.8017
-6626.5,-242309.5,117895.75,-124413.75,164.7023026,715.8111825,-0.830571518,-1.203990239,1.883713638,0.466535576,466778.53,466535.5756
-6518,-242174,117882.25,-124291.75,164.5417763,716.427479,-0.83055494,-1.20401427,1.885335471,0.466045318,466297.94,466045.318
-6409.5,-242038.5,117868.75,-124169.75,164.38125,717.0449793,-0.83053836,-1.204038305,1.886960472,0.465555029,465817.38,465555.0291
-6301,-241903,117855.25,-124047.75,164.2207237,717.6636868,-0.830521779,-1.204062344,1.888588649,0.465064709,465336.78,465064.709
-6192.5,-241767.5,117841.75,-123925.75,164.0601974,718.283605,-0.830505196,-1.204086387,1.890220013,0.464574358,464856.22,464574.3577
-6084,-241632,117828.25,-123803.75,163.8996711,718.9047375,-0.83048861,-1.204110433,1.891854572,0.464083975,464375.62,464083.9754
-5975.5,-241496.5,117814.75,-123681.75,163.7391447,719.527088,-0.830472023,-1.204134483,1.893492337,0.463593562,463895.06,463593.5623
-5867,-241361,117801.25,-123559.75,163.5786184,720.1506599,-0.830455434,-1.204158536,1.895133316,0.463103118,463414.44,463103.1183
-5758.5,-241225.5,117787.75,-123437.75,163.4180921,720.7754569,-0.830438843,-1.204182594,1.896777518,0.462612644,462933.9,462612.6436
-5650,-241090,117774.25,-123315.75,163.2575658,721.4014826,-0.83042225,-1.204206655,1.898424954,0.462122138,462453.3,462122.1383
-5541.5,-240954.5,117760.75,-123193.75,163.0970395,722.0287406,-0.830405655,-1.20423072,1.900075633,0.461631603,461972.8,461631.6026
-5433,-240819,117747.25,-123071.75,162.9365132,722.6572345,-0.830389059,-1.204254788,1.901729565,0.461141037,461492.84,461141.0365
-5324.5,-240683.5,117733.75,-122949.75,162.7759868,723.2869681,-0.83037246,-1.20427886,1.903386758,0.46065044,461012.88,460650.4402
-5216,-240548,117720.25,-122827.75,162.6154605,723.9179449,-0.83035586,-1.204302936,1.905047224,0.460159814,460533,460159.8137
