,Maxi Prin Strs,Mini Prin Strs,Sa,Sm,Sn',Sn,b,b',N',N,XGBOOST
496,-19104.0,-257892.0,119448.25,-138443.75,183.1628289473684,652.1424171403429,-0.8324653982664203,-1.201251129575433,1.7161642556324812,0.5226800377796432,522904.72
497,-18995.5,-257756.5,119434.75,-138321.75,183.00230263157894,652.6406951307415,-0.8324490360709468,-1.2012747407575513,1.7174755135019513,0.5221940399761871,521891.94
498,-18887.0,-257621.0,119421.25,-138199.75,182.84177631578947,653.1398480495251,-0.83243267202591,-1.2012983555370043,1.7187890738145397,0.5217080000026596,521831.03
499,-18778.5,-257485.5,119407.75,-138077.75,182.68125,653.6398782031544,-0.8324163061308918,-1.2013219739147647,1.7201049426398798,0.5212219179413824,521831.03
500,-18670.0,-257350.0,119394.25,-137955.75,182.52072368421054,654.1407879062039,-0.832399938385474,-1.2013455958918062,1.7214231260689574,0.5207357938748673,521649.97
501,-18561.5,-257214.5,119380.75,-137833.75,182.36019736842104,654.642579481398,-0.8323835687892378,-1.2013692214691027,1.7227436302142052,0.520249627885816,521520.53
502,-18453.0,-257079.0,119367.25,-137711.75,182.19967105263157,655.1452552596469,-0.8323671973417648,-1.2013928506476286,1.724066461209597,0.5197634200571206,521520.53
503,-18344.5,-256943.5,119353.75,-137589.75,182.0391447368421,655.6488175800823,-0.832350824042636,-1.2014164834283583,1.7253916252107429,0.5192771704718646,521520.53
504,-18236.0,-256808.0,119340.25,-137467.75,181.87861842105264,656.1532687900946,-0.8323344488914328,-1.2014401198122666,1.7267191283949856,0.5187908792133225,521520.53
505,-18127.5,-256672.5,119326.75,-137345.75,181.71809210526317,656.6586112453681,-0.8323180718877361,-1.201463759800329,1.728048976961495,0.5183045463649608,515245.47
506,-18019.0,-256537.0,119313.25,-137223.75,181.55756578947367,657.1648473099187,-0.8323016930311266,-1.2014874033935214,1.7293811771313652,0.5178181720104384,515245.47
507,-17910.5,-256401.5,119299.75,-137101.75,181.3970394736842,657.6719793561304,-0.8322853123211849,-1.20151105059282,1.7307157351477114,0.5173317562336072,515245.47
508,-17802.0,-256266.0,119286.25,-136979.75,181.23651315789473,658.180009764792,-0.8322689297574917,-1.2015347013992006,1.7320526572757684,0.5168452991185118,515245.47
509,-17693.5,-256130.5,119272.75,-136857.75,181.07598684210527,658.6889409251351,-0.8322525453396273,-1.2015583558136407,1.733391949802987,0.5163588007493913,515245.47
510,-17585.0,-255995.0,119259.25,-136735.75,180.9154605263158,659.1987752348708,-0.8322361590671721,-1.2015820138371172,1.7347336190391338,0.5158722612106784,515084.16
511,-17476.5,-255859.5,119245.75,-136613.75,180.75493421052633,659.7095151002284,-0.8322197709397061,-1.2016056754706077,1.7360776713163903,0.5153856805870008,514917.78
512,-17368.0,-255724.0,119232.25,-136491.75,180.59440789473683,660.2211629359917,-0.832203380956809,-1.2016293407150909,1.7374241129894519,0.5148990589631808,514917.78
513,-17259.5,-255588.5,119218.75,-136369.75,180.43388157894736,660.7337211655384,-0.832186989118061,-1.2016530095715443,1.7387729504356275,0.5144123964242371,514917.78
514,-17151.0,-255453.0,119205.25,-136247.75,180.2733552631579,661.247192220878,-0.8321705954230416,-1.201676682040947,1.740124190054942,0.5139256930553837,514917.78
515,-17042.5,-255317.5,119191.75,-136125.75,180.11282894736843,661.7615785426898,-0.8321541998713303,-1.2017003581242784,1.7414778382702363,0.5134389489420318,512429.84
516,-16934.0,-255182.0,119178.25,-136003.75,179.95230263157896,662.2768825803621,-0.8321378024625067,-1.2017240378225176,1.7428339015272687,0.5129521641697892,512429.84
517,-16825.5,-255046.5,119164.75,-135881.75,179.79177631578946,662.793106792031,-0.8321214031961497,-1.2017477211366447,1.7441923862948185,0.512465338824461,512429.84
518,-16717.0,-254911.0,119151.25,-135759.75,179.63125,663.3102536446193,-0.8321050020718387,-1.2017714080676398,1.7455532990647875,0.511978472992051,512429.84
519,-16608.5,-254775.5,119137.75,-135637.75,179.47072368421053,663.8283256138756,-0.8320885990891524,-1.201795098616484,1.746916646352304,0.5114915667587608,511568.97
520,-16500.0,-254640.0,119124.25,-135515.75,179.31019736842106,664.3473251844147,-0.8320721942476699,-1.201818792784158,1.7482824346958281,0.5110046202109909,511107.44
521,-16391.5,-254504.5,119110.75,-135393.75,179.1496710526316,664.8672548497563,-0.8320557875469696,-1.2018424905716432,1.7496506706572532,0.5105176334353417,511107.44
522,-16283.0,-254369.0,119097.25,-135271.75,178.9891447368421,665.3881171123653,-0.8320393789866305,-1.2018661919799212,1.751021360822014,0.5100306065186129,510984.03
523,-16174.5,-254233.5,119083.75,-135149.75,178.82861842105262,665.9099144836923,-0.8320229685662303,-1.2018898970099747,1.7523945117991904,0.5095435395478048,510984.03
524,-16066.0,-254098.0,119070.25,-135027.75,178.66809210526316,666.4326494842135,-0.8320065562853478,-1.201913605662786,1.7537701302216144,0.5090564326101188,510984.03
525,-15957.5,-253962.5,119056.75,-134905.75,178.5075657894737,666.9563246434711,-0.8319901421435607,-1.201937317939338,1.7551482227459767,0.5085692857929576,510984.03
526,-15849.0,-253827.0,119043.25,-134783.75,178.34703947368422,667.4809425001152,-0.8319737261404472,-1.2019610338406144,1.7565287960529348,0.5080820991839249,510984.03
527,-15740.5,-253691.5,119029.75,-134661.75,178.18651315789472,668.0065056019436,-0.8319573082755851,-1.2019847533675982,1.7579118568472198,0.5075948728708277,510984.03
528,-15632.0,-253556.0,119016.25,-134539.75,178.02598684210525,668.5330165059434,-0.831940888548552,-1.202008476521274,1.7592974118577456,0.5071076069416753,503889.1
529,-15523.5,-253420.5,119002.75,-134417.75,177.8654605263158,669.0604777783326,-0.8319244669589254,-1.2020322033026263,1.7606854678377173,0.5066203014846807,503889.1
530,-15415.0,-253285.0,118989.25,-134295.75,177.70493421052632,669.5888919946022,-0.8319080435062829,-1.2020559337126395,1.7620760315647428,0.5061329565882602,503889.1
